"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 28 09:53:42 CST 2021","Tue Dec 28 09:53:42 CST 2021","64","TestCase","test_06_add_plan","","","","老师端查看计划记录列表","查看计划记录页面列表中是否存在本次创建的任务计划"
"passed","Tue Dec 28 09:53:45 CST 2021","Tue Dec 28 09:53:45 CST 2021","180","TestCase","test_07_homework","","","","老师端历史作业记录","老师端作业历史记录"
"passed","Tue Dec 28 09:53:42 CST 2021","Tue Dec 28 09:53:42 CST 2021","124","TestCase","test_05_add_dailyGoals","","","","查看任务首页的每日目标完成进度","学生端再次查看任务首页，验证提交运动记录后是否跳绳、跑步、卡路里全部完成进度都是100%"
"passed","Tue Dec 28 09:53:44 CST 2021","Tue Dec 28 09:53:44 CST 2021","104","TestCase","test_07_homework","","","","学生端任务页首页作业完成进度","学生端查看任务首页，提取作业任务id"
"passed","Tue Dec 28 09:53:44 CST 2021","Tue Dec 28 09:53:44 CST 2021","174","TestCase","test_07_homework","","","","老师端今日作业记录","老师端查看今日作业记录"
"passed","Tue Dec 28 09:53:50 CST 2021","Tue Dec 28 09:53:50 CST 2021","74","TestCase","test_08_sports","","","","我的页面--运动记录","我的页面--运动记录"
"passed","Tue Dec 28 09:53:39 CST 2021","Tue Dec 28 09:53:39 CST 2021","111","TestCase","test_04_join_class","","","","学生审批列表接口","查询学生列表页面，是否存在通过申请的学生"
"passed","Tue Dec 28 09:53:38 CST 2021","Tue Dec 28 09:53:38 CST 2021","54","TestCase","test_02_add_school","","","","学校班级信息查询","查询学校班级信息，并且提取该学校的第一个班级class_id"
"passed","Tue Dec 28 09:53:49 CST 2021","Tue Dec 28 09:53:49 CST 2021","166","TestCase","test_08_sports","","","","提交运动：计数跑步300米","提交运动记录，包括计时、计数、自由模式的跳绳、跑步"
"passed","Tue Dec 28 09:53:46 CST 2021","Tue Dec 28 09:53:46 CST 2021","72","TestCase","test_08_sports","","","","跳绳200个--预计消耗","获取运动首页的运动列表"
"passed","Tue Dec 28 09:53:46 CST 2021","Tue Dec 28 09:53:46 CST 2021","58","TestCase","test_08_sports","","","","跳绳1000个--预计消耗","获取运动首页的运动列表"
"passed","Tue Dec 28 09:53:45 CST 2021","Tue Dec 28 09:53:45 CST 2021","84","TestCase","test_07_homework","","","","老师端删除作业模板","老师端班级页面，查看学生作业详情"
"passed","Tue Dec 28 09:53:41 CST 2021","Tue Dec 28 09:53:41 CST 2021","69","TestCase","test_05_add_dailyGoals","","","","学生端查询当前日期的每日目标","学生端查询日程表当前日期的任务目标"
"passed","Tue Dec 28 09:53:41 CST 2021","Tue Dec 28 09:53:41 CST 2021","92","TestCase","test_05_add_dailyGoals","","","","学生端任务页首页每日目标：跑步","学生端查看任务首页是否存在创建的每日目标"
"passed","Tue Dec 28 09:53:42 CST 2021","Tue Dec 28 09:53:42 CST 2021","196","TestCase","test_06_add_plan","","","","老师端创建任务计划：提升成绩_跳绳","创建任务计划： 提升成绩"
"passed","Tue Dec 28 09:53:48 CST 2021","Tue Dec 28 09:53:48 CST 2021","149","TestCase","test_08_sports","","","","跑步5分钟--预计消耗","获取运动首页的运动列表"
"failed","Tue Dec 28 09:53:51 CST 2021","Tue Dec 28 09:53:51 CST 2021","152","TestCase","test_09_delete_school","","","","删除学校","删除学校"
"passed","Tue Dec 28 09:53:39 CST 2021","Tue Dec 28 09:53:39 CST 2021","85","TestCase","test_04_join_class","","","","老师端查询学生审批列表","老师端查询学生审批列表，是否存在学生入班申请记录，并且提取申请记录的review_id"
"passed","Tue Dec 28 09:53:44 CST 2021","Tue Dec 28 09:53:44 CST 2021","77","TestCase","test_07_homework","","","","老师端创建作业--手动保存，不发布","老师端创建作业"
"passed","Tue Dec 28 09:53:46 CST 2021","Tue Dec 28 09:53:46 CST 2021","61","TestCase","test_08_sports","","","","跳绳5分钟--预计消耗","获取运动首页的运动列表"
"passed","Tue Dec 28 09:53:39 CST 2021","Tue Dec 28 09:53:40 CST 2021","756","TestCase","test_04_join_class","","","","学生列表查询接口","查询学生申请列表页面，是否存在学生申请记录"
"passed","Tue Dec 28 09:53:48 CST 2021","Tue Dec 28 09:53:48 CST 2021","156","TestCase","test_08_sports","","","","跑步4分钟--预计消耗","获取运动首页的运动列表"
"passed","Tue Dec 28 09:53:38 CST 2021","Tue Dec 28 09:53:38 CST 2021","97","TestCase","test_03_join_school","","","","教师端查询我的主页","查询教师用户我的主页接口，并且提取userId"
"passed","Tue Dec 28 09:53:38 CST 2021","Tue Dec 28 09:53:38 CST 2021","101","TestCase","test_02_add_school","","","","创建学校","admin管理员创建学校"
"passed","Tue Dec 28 09:53:47 CST 2021","Tue Dec 28 09:53:47 CST 2021","81","TestCase","test_08_sports","","","","跑步100m--预计消耗","获取运动首页的运动列表"
"passed","Tue Dec 28 09:53:45 CST 2021","Tue Dec 28 09:53:45 CST 2021","70","TestCase","test_07_homework","","","","老师查看学生作业详情","老师端班级页面，查看学生作业详情"
"passed","Tue Dec 28 09:53:49 CST 2021","Tue Dec 28 09:53:49 CST 2021","146","TestCase","test_08_sports","","","","提交运动：计时跑步20秒","提交运动记录，包括计时、计数、自由模式的跳绳、跑步"
"passed","Tue Dec 28 09:53:40 CST 2021","Tue Dec 28 09:53:40 CST 2021","83","TestCase","test_05_add_dailyGoals","","","","学生端创建每日目标：跳绳","学生端创建每日目标，内容为：跳绳100个"
"passed","Tue Dec 28 09:53:40 CST 2021","Tue Dec 28 09:53:40 CST 2021","89","TestCase","test_05_add_dailyGoals","","","","学生端创建每日目标：卡路里","学生端创建每日目标，内容为：跳绳100个"
"passed","Tue Dec 28 09:53:47 CST 2021","Tue Dec 28 09:53:47 CST 2021","176","TestCase","test_08_sports","","","","跑步1000m--预计消耗","获取运动首页的运动列表"
"passed","Tue Dec 28 09:53:41 CST 2021","Tue Dec 28 09:53:41 CST 2021","108","TestCase","test_05_add_dailyGoals","","","","学生端任务页首页每日目标：卡路里","学生端查看任务首页是否存在创建的每日目标"
"passed","Tue Dec 28 09:53:47 CST 2021","Tue Dec 28 09:53:47 CST 2021","154","TestCase","test_08_sports","","","","跑步500m--预计消耗","获取运动首页的运动列表"
"passed","Tue Dec 28 09:53:46 CST 2021","Tue Dec 28 09:53:46 CST 2021","69","TestCase","test_08_sports","","","","跳绳500个--预计消耗","获取运动首页的运动列表"
"passed","Tue Dec 28 09:53:47 CST 2021","Tue Dec 28 09:53:48 CST 2021","215","TestCase","test_08_sports","","","","跑步1分钟--预计消耗","获取运动首页的运动列表"
"passed","Tue Dec 28 09:53:45 CST 2021","Tue Dec 28 09:53:45 CST 2021","91","TestCase","test_07_homework","","","","班级作业详情","老师端班级作业详情"
